English_Name,Oruko(Yoruba_Name),English_Symptoms,Awọn aami aisan(Symptoms)
Andes Virus,fáírọ́ọ̀sì Andes,"Fever, muscle aches, shortness of breath, coughing","Iba, irora iṣan, mimi kuru, ikọ"
Korean Hemorrhagic Fever Virus,fáírọ́ọ̀sì Ẹjẹ Ẹjẹ Korean,"Fever, bleeding, kidney failure, abdominal pain","Iba, ẹjẹ, ikuna kidinrin, irora inu"
Dobrava Virus,fáírọ́ọ̀sì Dobrava,"Fever, headache, back pain, abdominal pain","Iba, orififo, irora ẹhin, irora inu"
Saaremaa Virus,fáírọ́ọ̀sì Saaremaa,"Fever, headache, back pain, abdominal pain","Iba, orififo, irora ẹhin, irora inu"
Black Creek Canal Virus,fáírọ́ọ̀sì Black Creek Canal,"Fever, headache, muscle pain, gastrointestinal symptoms","Iba, orififo, irora iṣan, awọn aami aisan inu ikun"
New York Virus,fáírọ́ọ̀sì New York,"Fever, headache, muscle pain, gastrointestinal symptoms","Iba, orififo, irora iṣan, awọn aami aisan inu ikun"
Monongahela Virus,fáírọ́ọ̀sì Monongahela,"Fever, headache, muscle pain, gastrointestinal symptoms","Iba, orififo, irora iṣan, awọn aami aisan inu ikun"
Lechiguanas Virus,fáírọ́ọ̀sì Lechiguanas,"Fever, headache, muscle pain, gastrointestinal symptoms","Iba, orififo, irora iṣan, awọn aami aisan inu ikun"
Orthohepevirus,Orthohepevirus,"Fever, fatigue, jaundice, gastrointestinal symptoms","Iba, rirẹ, jaundice, awọn aami aisan inu ikun"
Anellovirus,Anellovirus,"Usually asymptomatic, potential immune suppression","Nigbagbogbo ko si aami aisan, tiipa ajẹsara ti o pọju"
Astrovirus,Astrovirus,"Diarrhea, vomiting, fever, abdominal pain","Igbẹ gbuuru, ìgbagbogbo, iba, irora inu"
Torque Teno Virus,fáírọ́ọ̀sì Torque Teno,"Usually asymptomatic, potential immune modulation","Nigbagbogbo ko si aami aisan, iṣatunṣe ajẹsara ti o pọju"
Human Mastadenovirus,Mastadenovirus eniyan,"Respiratory symptoms, gastrointestinal symptoms, conjunctivitis","Awọn aami aiṣan ti Ẹmi, awọn aami aisan inu ikun, conjunctivitis"
Merkel Cell Polyomavirus,Merkel Cell Polyomavirus,"Skin cancer, lesions","Akàn ara, awọn ọgbẹ"
KI Polyomavirus,KI Polyomavirus,"Respiratory symptoms, potential neurological disease","Awọn aami aiṣan ti Ẹmi, arun ti iṣan ara ti o pọju"
WU Polyomavirus,WU Polyomavirus,"Respiratory symptoms, potential neurological disease","Awọn aami aiṣan ti Ẹmi, arun ti iṣan ti o pọju"
HPyV6 (Human Polyomavirus 6),HPyV6 (Human Polyomavirus 6),"Usually asymptomatic, skin lesions","Nigbagbogbo ko si aami aisan, awọn ọgbẹ awọ ara"
HPyV7 (Human Polyomavirus 7),HPyV7 (Human Polyomavirus 7),"Usually asymptomatic, skin lesions","Nigbagbogbo ko si aami aisan, awọn ọgbẹ awọ ara"
Human Polyomavirus 9 (HPyV9),Human Polyomavirus 9 (HPyV9),"Usually asymptomatic, potential immune suppression","Nigbagbogbo ko si aami aisan, potential immune suppression"
Usutu Virus,fáírọ́ọ̀sì Usutu,"Fever, rash, neurological symptoms","Iba, oru oru sisu, awọn aami aiṣan ti iṣan"
Oropouche Virus,fáírọ́ọ̀sì Oropouche,"Fever, headache, muscle pain, joint pain","Iba, orififo, irora iṣan, irora apapọ"
Venezuelan Equine Encephalitis,Encephalitis Equine Venezuelan,"Fever, headache, vomiting, neurological symptoms","Iba, orififo, ìgbagbogbo, awọn aami aiṣan ti iṣan"
Eastern Equine Encephalitis,Eastern Equine Encephalitis,"Fever, headache, nausea, vomiting, seizures","Iba, orififo, ríru, ìgbagbogbo, ijagba"
Western Equine Encephalitis,Western Equine Encephalitis,"Fever, headache, nausea, vomiting, seizures","Iba, orififo, ríru, ìgbagbogbo, ijagba"
Aichi virus,fáírọ́ọ̀sì Aichi,"Gastroenteritis, diarrhea, vomiting, fever, abdominal pain","Gastroenteritis, igbe gbuuru, ìgbagbogbo, iba, irora inu"
Alkhurma hemorrhagic fever virus,fáírọ́ọ̀sì Alkhurma hemorrhagic,"Fever, headache, myalgia, nausea, vomiting, hemorrhagic symptoms","Iba, orififo, myalgia, ríru, ìgbagbogbo, awọn aami aiṣan ẹjẹ"
Arenaviruses,Arenaviruses,"Hemorrhagic fever, fever, headache, myalgia, sore throat, chest pain","Iba ẹjẹ ẹjẹ, iba, orififo, myalgia, ọfun ọfun, irora àyà"
Bocavirus (different strains),Bocavirus (awọn oriṣiriṣi oriṣiriṣi),"Respiratory infections, wheezing, pneumonia, gastroenteritis","Awọn akoran ti atẹgun, mimi, pneumonia, gastroenteritis"
Bornavirus (additional strains),Bornavirus (awọn igara afikun),"Neuropsychiatric disorders, behavioral changes, motor dysfunction","Awọn rudurudu Neuropsychiatric, awọn iyipada ihuwasi, ailagbara mọto"
Bunyaviruses,Bunyaviruses,"Fever, hemorrhagic symptoms, headache, myalgia, rash","Iba, awọn aami aiṣan ẹjẹ, orififo, myalgia, oru sisu"
Dengue virus (multiple serotypes),fáírọ́ọ̀sì dengue (ọpọlọpọ serotypes),"Fever, headache, retro-orbital pain, myalgia, arthralgia, rash, hemorrhagic symptoms","Iba, orififo, irora retro-orbital, myalgia, arthralgia, sisu, awọn aami aiṣan ẹjẹ"
Enterovirus D68,Enterovirus D68,"Respiratory illness, wheezing, asthma exacerbation, paralysis","Aisan atẹgun, mimi, ikọ-fèé buruju, rolapa rolese"
Erythrovirus,Erythrovirus,"Fifth disease (slapped cheek rash), arthritis, anemia","Fifth disease (slapped cheek rash), arthritis, anemia"
Henipavirus (Hendra virus),Henipavirus (fáírọ́ọ̀sì Hendra),"Fever, cough, sore throat, encephalitis, seizures, coma","Iba, Ikọaláìdúró, ọfun ọfun, encephalitis, imulojiji, coma"
Herpesviruses,Herpesviruses,"Fever, rash, encephalitis, mononucleosis-like symptoms, various other organ-specific symptoms","Iba, oru sisu, encephalitis, mononucleosis-bi awọn aami aisan, orisirisi awọn aami aisan ara-ara miiran"
Orthobunyavirus,Orthobunyavirus,"Fever, headache, myalgia, encephalitis, hemorrhagic symptoms","Iba, orififo, myalgia, encephalitis, awọn aami aiṣan ẹjẹ"
Papillomaviruses,Papillomaviruses,"Warts, respiratory papillomatosis, cervical dysplasia, cancer (depending on type)","Warts, papillomatosis atẹgun, dysplasia cervical, akàn (da lori iru)"
Picornavirus (beyond polio and enteroviruses),Picornavirus (beyond polio and enteroviruses),"Respiratory infections, gastroenteritis, aseptic meningitis","Awọn akoran ti atẹgun, gastroenteritis, meningitis aseptic"
Polyomavirus (additional strains),Polyomavirus (awọn igara afikun),"Asymptomatic, PML: cognitive impairment, motor weakness, visual loss","ko si aami aisan, PML: ailagbara imọ, ailagbara mọto, pipadanu wiwo"
Rabies virus (beyond classical rabies virus),Kokoro Rabies (kọja kokoro arun rabies kilasika),"Fever, headache, malaise, anxiety, confusion, paralysis, coma","Iba, orififo, ailera, aibalẹ, iporuru, paralysis, coma"
"Retroviruses (beyond HIV, HTLV)","Retroviruses (kọja HIV, HTLV)","Varies widely: leukemia, lymphoma, neurological disorders","O yatọ si pupọ: aisan lukimia, lymphoma, awọn rudurudu ti iṣan"
Sapovirus,Sapovirus,"Acute gastroenteritis: diarrhea, vomiting, fever, abdominal pain","Gastroenteritis nla: gbuuru, ìgbagbogbo, iba, irora inu"
SARS-CoV,SARS-CoV,"Severe acute respiratory syndrome: fever, cough, dyspnea, pneumonia","Arun atẹgun nla: iba, Ikọaláìdúró, dyspnea, pneumonia"
Smallpox (Variola virus),Smallpox (Variola virus),"Fever, malaise, rash progressing to pustules, scabs, scars","Iba, ailera, sisu lilọsiwaju si pustules, scabs, awọn aleebu"
Torovirus,Torovirus,"Gastroenteritis: diarrhea, vomiting, fever","Gastroenteritis: igbe gbuuru, ìgbagbogbo, iba"
Vaccinia virus,fáírọ́ọ̀sì Vaccinia,"Localized skin lesions, fever, lymphadenopathy (used in smallpox vaccine)","Awọn egbo awọ ara ti agbegbe, iba, lymphadenopathy (ti a lo ninu ajesara kekere kekere)"
