English_Name,Oruko(Yoruba_Name),English_Symptoms,Awọn aami aisan(Symptoms)
Fusarium dimerum infection,Fusarium dimerum ikolu,"Skin lesions, sinusitis, keratitis, disseminated infections","Awọn egbo awọ ara, sinusitis, keratitis, awọn akoran ti o tan kaakiri"
Fusarium equiseti infection,Fusarium equiseti ikolu,"Skin lesions, sinusitis, keratitis, disseminated infections","Awọn egbo awọ ara, sinusitis, keratitis, awọn akoran ti o tan kaakiri"
Fusarium proliferatum infection,Fusarium proliferatum ikolu,"Skin lesions, sinusitis, keratitis, disseminated infections","Awọn egbo awọ ara, sinusitis, keratitis, awọn akoran ti o tan kaakiri"
Hortaea werneckii infection,Hortaea wernecki ikolu,Brown or black painless patches on palms or soles,Awọn abulẹ brown tabi dudu ti ko ni irora lori awọn ọpẹ tabi awọn atẹlẹsẹ
Hyalohyphomycosis,Hyalohyphomycosis,"Sinusitis, keratitis, skin lesions, pneumonia","Sinusitis, keratitis, awọn egbo awọ ara, pneumonia"
Lacazia loboi infection,Lacazia loboi ikolu,"Warty skin lesions, nodules, ulceration","Warty ara egbo, nodules, ulceration"
Madurella mycetomatis infection,Madurella mycetomatis ikolu,"Swelling, deformity, discharging sinuses, pain","Wiwu, idibajẹ, awọn sinuses ti njade, irora"
Monascus ruber infection,Monascus ruber ikolu,"Skin lesions, respiratory infections, bloodstream infections","Awọn egbo awọ ara, awọn akoran atẹgun, awọn akoran ẹjẹ"
Myrothecium infection,Myrothecium ikolu,"Skin lesions, respiratory infections, disseminated infections","Awọn egbo awọ ara, awọn akoran atẹgun, awọn akoran ti a tan kaakiri"
Ochroconis infection,Ochroconis ikolu,"Sinusitis, skin infections, brain abscesses","Sinusitis, àkóràn awọ ara, abscesses ọpọlọ"
Phaeoacremonium parasiticum infection,Phaeoacremonium parasiticum ikolu,"Skin lesions, subcutaneous nodules, brain abscesses","Awọn egbo awọ ara, awọn nodules subcutaneous, abscesses ọpọlọ"
Phomopsis infection,Àkóràn phomopsis,"Skin lesions, respiratory infections, disseminated infections","Awọn egbo awọ ara, awọn akoran atẹgun, awọn akoran ti a tan kaakiri"
Piedraia hortae infection,Piedraia hortae ikolu,"Hard, black nodules on hair shafts, hair breakage","Lile, awọn nodules dudu lori awọn ọpa irun, fifọ irun"
Pithomyces chartarum infection,Pithomyces chartarum ikolu,"Skin lesions, respiratory infections, disseminated infections","Awọn egbo awọ ara, awọn akoran atẹgun, awọn akoran ti a tan kaakiri"
Pneumocystis jirovecii infection,Pneumocystis jirovecii ikolu,"Fever, cough, shortness of breath, chest pain","Iba, Ikọaláìdúró, èémí kuru, irora àyà"
Pseudallescheria boydii infection,Pseudallescheria boydii ikolu,"Sinusitis, pneumonia, skin lesions, brain abscesses","Sinusitis, pneumonia, awọn egbo awọ ara, abscesses ọpọlọ"
Pseudogymnoascus infection,Pseudogymnoascus ikolu,"Skin lesions, respiratory infections, disseminated infections","Awọn egbo awọ ara, awọn akoran atẹgun, awọn akoran ti a tan kaakiri"
Rhizopus microsporus infection,Rhizopus microsporus ikolu,"Sinus pain, facial swelling, black lesions, fever, cough, chest pain","Irora sinus, wiwu oju, awọn egbo dudu, iba, Ikọaláìdúró, irora àyà"
Rhytisma acerinum infection,Rhytisma acerinum ikolu,"Skin lesions, respiratory infections, disseminated infections","Awọn egbo awọ ara, awọn akoran atẹgun, awọn akoran ti a tan kaakiri"
Sepedonium infection,Sepedonium ikolu,"Sinusitis, skin lesions, respiratory infections","Sinusitis, awọn ọgbẹ awọ ara, awọn akoran atẹgun"
Sporotrichum schenckii infection,Sporotrichum schenckii ikolu,"Skin ulcers, nodules, red bumps, lymph node swelling","Awọn ọgbẹ awọ ara, awọn nodules, awọn bumps pupa, wiwu ọra-ara"
Stachybotrys chartarum infection,Stachybotrys chartarum ikolu,"Cough, wheezing, chest tightness, eye irritation, skin rash","Ikọaláìdúró, mimi, wiwọ àyà, irritation oju, awọ ara"
Talaromyces marneffei infection,Talaromyces marneffei ikolu,"Fever, cough, fatigue, weight loss, skin lesions","Iba, Ikọaláìdúró, rirẹ, àdánù làìpẹ, awọn egbo ara"
Thielaviopsis infection,Thielaviopsis ikolu,"Skin lesions, respiratory infections, disseminated infections","Awọn egbo awọ ara, awọn akoran atẹgun, awọn akoran ti a tan kaakiri"
Torulopsis glabrata infection,Torulopsis glabrata ikolu,"Oral thrush, vaginal yeast infections, bloodstream infections","Ẹnu thrush, awọn akoran iwukara abẹ, awọn akoran ẹjẹ"
Trichoderma longibrachiatum infection,Trichoderma longibrachiatum ikolu,"Sinusitis, skin lesions, respiratory infections","Sinusitis, awọn ọgbẹ awọ ara, awọn akoran atẹgun"
Trichophyton concentricum infection,Trichophyton concentricum ikolu,"Itchy, red, circular rash, cracked skin, hair loss in affected area","Itchy, pupa, sisu ipin, awọ ti o ya, pipadanu irun ni agbegbe ti o kan"
Trichophyton schoenleinii infection,Trichophyton schoenleinii ikolu,"Itchy, red, circular rash, cracked skin, hair loss in affected area","Itchy, pupa, sisu ipin, awọ ti o ya, pipadanu irun ni agbegbe ti o kan"
Tritirachium oryzae infection,Tritirachium oryzae ikolu,"Skin lesions, respiratory infections, disseminated infections","Awọn egbo awọ ara, awọn akoran atẹgun, awọn akoran ti a tan kaakiri"
Ulocladium chartarum infection,Ulocladium chartarum ikolu,"Sinusitis, skin lesions, respiratory infections","Sinusitis, awọn ọgbẹ awọ ara, awọn akoran atẹgun"
Verruconis gallopava infection,Verruconis gallopava ikolu,"Sinusitis, brain abscesses, respiratory infections","Sinusitis, abscesses ọpọlọ, awọn akoran ti atẹgun"
Wallemia sebi infection,Wallemia sebi ikolu,"Skin lesions, respiratory infections, disseminated infections","Awọn egbo awọ ara, awọn akoran atẹgun, awọn akoran ti a tan kaakiri"
Xylohypha bantiana infection,Xylohypha bantiana ikolu,"Brain abscesses, skin lesions, respiratory infections","Awọn abscesses ọpọlọ, awọn ọgbẹ ara, awọn akoran ti atẹgun"
Xylohypha emmonsii infection,Xylohypha emmonsii ikolu,"Brain abscesses, skin lesions, respiratory infections","Awọn abscesses ọpọlọ, awọn ọgbẹ ara, awọn akoran ti atẹgun"
Yarrowia lipolytica infection,Yarrowia lipolytica ikolu,"Skin lesions, respiratory infections, bloodstream infections","Awọn egbo awọ ara, awọn akoran atẹgun, awọn akoran ẹjẹ"
Zopfiella infection,Zopfiella infection,"Skin lesions, respiratory infections, disseminated infections","Awọn egbo awọ ara, awọn akoran atẹgun, awọn akoran ti a tan kaakiri"
Zygomycetous infection,Àkóràn Zygomycetous,"Sinus pain, facial swelling, black lesions, fever, cough, chest pain","Irora sinus, wiwu oju, awọn egbo dudu, iba, Ikọaláìdúró, irora àyà"
Annellophora infection,Annellophora ikolu,"Skin lesions, respiratory infections, disseminated infections","Awọn egbo awọ ara, awọn akoran atẹgun, awọn akoran ti a tan kaakiri"
Aureobasidium pullulans infection,Aureobasidium pullulans ikolu,"Skin lesions, respiratory infections, disseminated infections","Awọn egbo awọ ara, awọn akoran atẹgun, awọn akoran ti a tan kaakiri"
Actinomucor elegans infection,Actinomucor elegans ikolu,"Sinusitis, pneumonia, skin lesions","Sinusitis, pneumonia, awọn egbo awọ ara"
Aspergillus clavatus infection,Aspergillus clavatus ikolu,"Cough, chest pain, shortness of breath, fever","Ikọaláìdúró, irora àyà, àìtó ìmí, ibà"
Aspergillus sydowii infection,Aspergillus sydowii ikolu,"Cough, chest pain, shortness of breath, fever","Ikọaláìdúró, irora àyà, àìtó ìmí, ibà"
Aspergillus ustus infection,Aspergillus ustus ikolu,"Cough, chest pain, shortness of breath, fever","Ikọaláìdúró, irora àyà, àìtó ìmí, ibà"
Basidiobolus ranarum infection,Basidiobolus ikolu ti awọn ọpọlọ,"Subcutaneous swelling, nodules, pain","Iwiwu abẹ abẹ, awọn nodules, irora"
Candida kefyr infection,Candida kefyr ikolu,"Oral thrush, vaginal yeast infections, bloodstream infections","Ẹnu thrush, awọn akoran iwukara abẹ, awọn akoran ẹjẹ"
Candida lipolytica infection,Candida kefyr ikolu,"Oral thrush, vaginal yeast infections, bloodstream infections","Ẹnu thrush, awọn akoran iwukara abẹ, awọn akoran ẹjẹ"
Candida rugosa infection,Candida kefyr ikolu,"Oral thrush, vaginal yeast infections, bloodstream infections","Ẹnu thrush, awọn akoran iwukara abẹ, awọn akoran ẹjẹ"
Candida utilis infection,Candida kefyr ikolu,"Oral thrush, vaginal yeast infections, bloodstream infections","Ẹnu thrush, awọn akoran iwukara abẹ, awọn akoran ẹjẹ"
Chaetomium globosum infection,Chaetomium globosum ikolu,"Skin lesions, nail infections, respiratory infections","Awọn egbo awọ ara, awọn akoran eekanna, awọn akoran atẹgun"
Cladosporium herbarum infection,Cladosporium ikolu ti ọgbin,"Skin lesions, sinusitis, respiratory infections","Awọn egbo awọ ara, sinusitis, awọn akoran atẹgun"
Curvularia pallescens infection,Curvularia pallescens ikolu,"Sinusitis, keratitis, skin lesions, brain abscesses","Sinusitis, keratitis, awọn egbo awọ ara, abscesses ọpọlọ"
Curvularia senegalensis infection,Curvularia senegalensis ikolu,"Sinusitis, keratitis, skin lesions, brain abscesses","Sinusitis, keratitis, awọn egbo awọ ara, abscesses ọpọlọ"
Curvularia spicifera infection,Curvularia spicifera ikolu,"Sinusitis, keratitis, skin lesions, brain abscesses","Sinusitis, keratitis, awọn egbo awọ ara, abscesses ọpọlọ"
Diplodia infection,Diplodia ikolu,"Skin lesions, respiratory infections, disseminated infections","Awọn egbo awọ ara, awọn akoran atẹgun, awọn akoran ti a tan kaakiri"
Exophiala salmonis infection,Exophiala salmonis ikolu,"Skin lesions, subcutaneous nodules, brain abscesses","Awọn egbo awọ ara, awọn nodules subcutaneous, abscesses ọpọlọ"
Fonsecaea compacta infection,Fonsecaea compacta ikolu,"Warty skin lesions, nodules, scaly patches, ulceration","Warty ara egbo, nodules, scaly abulẹ, ulceration"
Fusarium verticillioides infection,Fusarium verticillioides ikolu,"Skin lesions, sinusitis, keratitis, disseminated infections","Awọn egbo awọ ara, sinusitis, keratitis, awọn akoran ti o tan kaakiri"
Geomyces pannorum infection,Geomyces pannorum ikolu,"Skin lesions, respiratory infections, disseminated infections","Awọn egbo awọ ara, awọn akoran atẹgun, awọn akoran ti a tan kaakiri"
Gongronella butleri infection,Gongronella butleri ikolu,"Sinusitis, pneumonia, skin lesions","Sinusitis, pneumonia, awọn egbo awọ ara"
Graphium infection,Àkóràn graphium,"Skin lesions, respiratory infections, disseminated infections","Awọn egbo awọ ara, awọn akoran atẹgun, awọn akoran ti a tan kaakiri"
Hyphopichia burtonii infection,Hyphopichia burtonii ikolu,"Oral thrush, vaginal yeast infections, bloodstream infections","Ẹnu thrush, awọn akoran iwukara abẹ, awọn akoran ẹjẹ"
Leptosphaeria infection,Leptosphaeria ikolu,"Skin lesions, respiratory infections, disseminated infections","Awọn egbo awọ ara, awọn akoran atẹgun, awọn akoran ti a tan kaakiri"
Magnusiomyces capitatus infection,Magnusiomyces capitatus ikolu,"Skin lesions, respiratory infections, bloodstream infections","Awọn egbo awọ ara, awọn akoran atẹgun, awọn akoran ẹjẹ"
Microascus infection,Microascus ikolu,"Skin lesions, respiratory infections, disseminated infections","Awọn egbo awọ ara, awọn akoran atẹgun, awọn akoran ti a tan kaakiri"
Mucor amphibiorum infection,Mucor amphibiorum ikolu,"Sinusitis, pneumonia, skin lesions","Sinusitis, pneumonia, awọn egbo awọ ara"
Mucor indicus infection,Mucor indicus ikolu,"Sinusitis, pneumonia, skin lesions","Sinusitis, pneumonia, awọn egbo awọ ara"
Phaeoacremonium rubrigenum infection,Phaeoacremonium rubrigenum ikolu,"Skin lesions, subcutaneous nodules, brain abscesses","Awọn egbo awọ ara, awọn nodules subcutaneous, abscesses ọpọlọ"
Rhizomucor pusillus infection,Rhizomucor pusillus ikolu,"Sinusitis, pneumonia, skin lesions","Sinusitis, pneumonia, awọn egbo awọ ara"
Rhizopus homothallicus infection,Rhizopus homothallicus ikolu,"Sinusitis, pneumonia, skin lesions","Sinusitis, pneumonia, awọn egbo awọ ara"
Scopulariopsis brumptii infection,Scopulariopsis brumptii ikolu,"Nail infections, skin lesions, respiratory infections","Awọn akoran eekanna, awọn ọgbẹ awọ ara, awọn akoran atẹgun"
Sporotrichum pruinosum infection,Sporotrichum pruinosum ikolu,"Skin ulcers, nodules, red bumps, lymph node swelling","Awọn ọgbẹ awọ ara, awọn nodules, awọn bumps pupa, wiwu ọra-ara"
Talaromyces purpurogenus infection,Talaromyces purpurogenus ikolu,"Fever, cough, weight loss, skin lesions","Iba, Ikọaláìdúró, àdánù làìpẹ, awọn egbo awọ ara"
Zygosaccharomyces infection,Zygosaccharomyces ikolu,"Oral thrush, vaginal yeast infections, bloodstream infections","Ẹnu thrush, awọn akoran iwukara abẹ, awọn akoran ẹjẹ"
,,,
Chronic Health Condition,Ipo Onibaje Ti Ilera,Symptoms,awọn aami aisan
Cardiovascular Diseases,,,
Hypertension (High Blood Pressure),,"Headaches, dizziness, shortness of breath",
Coronary Artery Disease,,"Chest pain, shortness of breath, fatigue",
Heart Failure,Ikuna Okan,"Shortness of breath, swelling in legs, fatigue","Kukuru ẹmi, wiwu ni awọn ẹsẹ, rirẹ"
Atrial Fibrillation,Atrial Fibrillation,"Palpitations, weakness, dizziness","Irora, ailera, dizziness"
Peripheral Artery Disease,Arun Arun Agbeegbe,"Leg pain while walking, numbness, cold legs or feet","Irora ẹsẹ nigba ti nrin, numbness, awọn ẹsẹ tutu tabi ẹsẹ"
Stroke,Ọpọlọ,"Sudden numbness, confusion, trouble speaking","Ibanujẹ lojiji, rudurudu, wahala sisọ"
,,,
Respiratory Diseases,Awọn Arun Ẹmi,,
Chronic Obstructive Pulmonary Disease (COPD),Arun Idena Ẹdọforo (COPD),"Shortness of breath, chronic cough, wheezing","Kukuru ẹmi, Ikọaláìdúró onibaje, mimi"
Asthma,Asthma,"Wheezing, shortness of breath, chest tightness","Mimi, kukuru ti ẹmi, wiwọ àyà"
Chronic Bronchitis,Onibaje Bronchitis,"Persistent cough, mucus production, shortness of breath","Ikọaláìdúró ti o leralera, iṣelọpọ mucus, kukuru ti ẹmi"
Emphysema,Emphysema,"Shortness of breath, chronic cough, fatigue","Kukuru ìmí, Ikọaláìdúró onibaje, rirẹ"
,,,
Endocrine and Metabolic Disorders,Endocrine ati Metabolic Disorders,,
Diabetes Mellitus (Type 1 and Type 2),Àtọgbẹ mellitus (Iru 1 ati Iru 2),"Increased thirst, frequent urination, fatigue","Oùngbẹ ti o pọ si, ito loorekoore, rirẹ"
Hypothyroidism,Hypothyroidism,"Fatigue, weight gain, cold intolerance","Rirẹ, iwuwo ere, aibikita tutu"
Hyperthyroidism,Hyperthyroidism,"Weight loss, rapid heartbeat, nervousness","Pipadanu iwuwo, iyara ọkan, aifọkanbalẹ"
Metabolic Syndrome,Ti iṣelọpọ agbara Saa,"Increased blood pressure, high blood sugar, abnormal cholesterol levels","Iwọn ẹjẹ ti o pọ si, suga ẹjẹ ti o ga, awọn ipele idaabobo awọ ajeji"
Polycystic Ovary Syndrome (PCOS),Polycystic Ovary Syndrome (PCOS),"Irregular periods, acne, weight gain","Awọn akoko alaibamu, irorẹ, ere iwuwo"
,,,
Neurological Disorders,Awọn Ẹjẹ Ẹdọkan,,
Alzheimer's Disease,Arun Alusaima,"Memory loss, confusion, difficulty with speech","Pipadanu iranti, iporuru, iṣoro pẹlu ọrọ sisọ"
Parkinson's Disease,Arun Pakinsini,"Tremors, stiffness, slow movement","Iwariri, lile, gbigbe lọra"
Epilepsy,Warapa,"Seizures, temporary confusion, staring spells","Ijagba, iporuru igba diẹ, awọn ìráníyè wiwo"
Multiple Sclerosis,Ọpọ Sclerosis,"Numbness, weakness, vision problems","Numbness, ailera, awọn iṣoro iran"
Amyotrophic Lateral Sclerosis (ALS),Amyotrophic Lateral Sclerosis (ALS),"Muscle weakness, difficulty speaking, difficulty swallowing","Ailera iṣan, iṣoro sisọ, iṣoro gbigbe"
Migraine,Migraine,"Severe headache, nausea, light sensitivity","orififo nla, ríru, ifamọ ina"
,,,
Musculoskeletal Disorders,Awọn Ẹjẹ iṣan,,
Osteoarthritis,Osteoarthritis,"Joint pain, stiffness, reduced range of motion","Irora apapọ, lile, idinku ti iṣipopada"
Rheumatoid Arthritis,Arthritis Rheumatoid,"Joint pain, swelling, morning stiffness","Irora apapọ, wiwu, lile owurọ"
Osteoporosis,Osteoporosis,"Bone fractures, back pain, loss of height","Awọn fifọ egungun, irora ẹhin, isonu ti iga"
Ankylosing Spondylitis,Spondylitis ankylosing,"Back pain, stiffness, reduced flexibility","Irora afẹyinti, lile, dinku ni irọrun"
Lupus,Lupus,"Fatigue, joint pain, skin rashes","Rirẹ, irora apapọ, awọn awọ ara"
,,,
Gastrointestinal Disorders,Awọn Ẹjẹ Ifun inu,,
"Inflammatory Bowel Disease (Crohn's, UC)","Arun Ifun Ifun (Crohn's, UC)","Abdominal pain, diarrhea, weight loss","Inu irora, gbuuru, àdánù làìpẹ"
Irritable Bowel Syndrome (IBS),Aisan Ifun Irritable (IBS),"Abdominal pain, bloating, constipation or diarrhea","Inu irora, bloating, àìrígbẹyà tabi gbuuru"
Celiac Disease,Celiac Disease,"Abdominal pain, bloating, diarrhea","Inu irora, bloating, gbuuru"
Chronic Hepatitis (B and C),Hepatitis onibaje (B ati C),"Fatigue, jaundice, abdominal pain","Rirẹ, jaundice, irora inu"
Fatty Liver Disease,Arun Ẹdọ Ọra,"Fatigue, abdominal discomfort, elevated liver enzymes","Rirẹ, aibalẹ inu, awọn enzymu ẹdọ ti o ga"
,,,
Kidney and Urological Disorders,Àrùn àti Àrùn Ẹ̀jẹ̀,,
Chronic Kidney Disease,Arun Kidinrin Onibaje,"Fatigue, swelling, changes in urination","Rirẹ, wiwu, iyipada ninu ito"
Polycystic Kidney Disease,Polycystic Àrùn Àrùn,"High blood pressure, back or side pain, kidney stones","Iwọn ẹjẹ ti o ga, ẹhin tabi irora ẹgbẹ, awọn okuta kidinrin"
Interstitial Cystitis,Cystitis Interstitial,"Pelvic pain, frequent urination, bladder pressure","Irora ibadi, ito loorekoore, titẹ àpòòtọ"
Chronic Prostatitis,Prostatitis onibaje,"Pelvic pain, painful urination, pain during ejaculation","Irora ibadi, ito irora, irora nigba ejaculation"
,,,
Skin Disorders,,,
Psoriasis,Psoriasis,"Red patches with scales, itching, dry skin","Awọn abulẹ pupa pẹlu awọn irẹjẹ, nyún, awọ gbigbẹ"
Eczema (Atopic Dermatitis),Àléfọ (Atopic Dermatitis),"Itchy, red, swollen skin, dry patches","Nyọ, pupa, awọ wiwu, awọn abulẹ ti o gbẹ"
Rosacea,Rosacea,"Facial redness, visible blood vessels, bumps","Pupa oju, awọn ohun elo ẹjẹ ti o han, awọn bumps"
Vitiligo,Vitiligo,"Loss of skin color, white patches","Isonu ti awọ ara, awọn abulẹ funfun"
,,,
Mental Health Disorders,Opolo Health Ẹjẹ,,
Major Depressive Disorder,Arun Ibanujẹ nla,"Persistent sadness, loss of interest, fatigue","Ibanujẹ igbagbogbo, isonu ti anfani, rirẹ"
Bipolar Disorder,Arun Bipolar,"Mood swings, high energy episodes, depressive episodes","Awọn iyipada iṣesi, awọn iṣẹlẹ agbara giga, awọn iṣẹlẹ irẹwẹsi"
Schizophrenia,Schizophrenia,"Hallucinations, delusions, disorganized thinking","Hallucinations, delusions, disorganized ero"
Generalized Anxiety Disorder,Ibanujẹ Ibanujẹ Akopọ,"Excessive worry, restlessness, irritability","Àníyàn púpọ̀, àìnísinmi, ìbínú"
Post-Traumatic Stress Disorder (PTSD),Arun Wahala Lẹyin-Ibalẹjẹ (PTSD),"Flashbacks, severe anxiety, nightmares","Flashbacks, àìdá ṣàníyàn, alaburuku"
Obsessive-Compulsive Disorder (OCD),Àìsàn-Àìsàn (OCD),"Recurrent unwanted thoughts, repetitive behaviors","Awọn ero aifẹ loorekoore, awọn ihuwasi atunwi"
,,,
Cancer (Chronic Types),Akàn (Awọn oriṣi onibaje),,
Breast Cancer,Jejere omu,"Lump in the breast, changes in breast shape, nipple discharge","Odidi ninu igbaya, iyipada ni apẹrẹ igbaya, itusilẹ ori ọmu"
Prostate Cancer,Prostate akàn,"Difficulty urinating, pelvic pain, blood in urine","Iṣoro ito, irora ibadi, ẹjẹ ninu ito"
Colorectal Cancer,Akàn Awọ,"Changes in bowel habits, blood in stool, abdominal discomfort","Ayipada ninu ifun isesi, ẹjẹ ni otita, aibalẹ inu"
Lung Cancer,Ẹdọfóró akàn,"Persistent cough, chest pain, weight loss","Ikọaláìdúró ti o tẹsiwaju, irora àyà, pipadanu iwuwo"
Leukemia,Aisan lukimia,"Fatigue, frequent infections, easy bruising","Rirẹ, awọn akoran loorekoore, ọgbẹ irọrun"
Lymphoma,Lymphoma,"Swollen lymph nodes, fatigue, fever","Awọn apa ọgbẹ wiwu, rirẹ, iba"
Melanoma,Melanoma,"Unusual moles, changes in skin appearance","Moles dani, awọn ayipada ninu irisi awọ ara"
,,,
Blood Disorders,Ẹjẹ Ẹjẹ,,
Sickle Cell Disease,Arun Ẹjẹ,"Pain episodes, anemia, frequent infections","Awọn iṣẹlẹ irora, ẹjẹ, awọn akoran loorekoore"
Hemophilia,Hemophilia,"Excessive bleeding, easy bruising, joint pain","Ẹjẹ ti o pọ ju, ọgbẹ irọrun, irora apapọ"
Thalassemia,Thalassemia,"Fatigue, weakness, paleness","Rirẹ, ailera, paleness"
,,,
Autoimmune Disorders,Awọn ailera Aifọwọyi,,
Type 1 Diabetes,Àtọgbẹ Iru 1,"Increased thirst, frequent urination, fatigue","Oùngbẹ ti o pọ si, ito loorekoore, rirẹ"
Multiple Sclerosis,Ọpọ Sclerosis,"Numbness, weakness, vision problems","Numbness, ailera, awọn iṣoro iran"
Rheumatoid Arthritis,Arthritis Rheumatoid,"Joint pain, swelling, morning stiffness","Irora apapọ, wiwu, lile owurọ"
Lupus,Lupus,"Fatigue, joint pain, skin rashes","Rirẹ, irora apapọ, awọn awọ ara"
Celiac Disease,Celiac Arun,"Abdominal pain, bloating, diarrhea","Inu irora, bloating, gbuuru"
,,,
Infectious Diseases (Chronic Infections),Awọn Arun Arun (Awọn akoran onibaje),,
HIV/AIDS,HIV/AIDS,"Fatigue, weight loss, frequent infections","Irẹwẹsi, pipadanu iwuwo, awọn akoran loorekoore"
Chronic Hepatitis B and C,Hepatitis onibaje B ati C,"Fatigue, jaundice, abdominal pain","Rirẹ, jaundice, irora inu"
Tuberculosis (latent TB infection),iko (ikolu ikọ TB),"Persistent cough, weight loss, night sweats","Ikọaláìdúró ti o tẹsiwaju, pipadanu iwuwo, lagun alẹ"
,,,
Eye Disorders,Awọn Ẹjẹ Oju,,
Glaucoma,Glaucoma,"Loss of peripheral vision, eye pain, blurred vision","Pipadanu iran agbeegbe, irora oju, iran ti ko dara"
Macular Degeneration,Macular degeneration,Blurred or reduced central vision,Aifọwọyi tabi dinku iran aarin
Diabetic Retinopathy,Àtọgbẹ Retinopathy,"Blurred vision, floaters, vision loss","Oju riran, awọn floaters, pipadanu iran"
,,,
Others,Awọn miiran,,
Chronic Fatigue Syndrome,Àrùn Arẹwẹsi Onibaje,"Severe fatigue, muscle pain, sleep disturbances","Rirẹ pupọ, irora iṣan, awọn idamu oorun"
Fibromyalgia,Fibromyalgia,"Widespread pain, fatigue, sleep problems","Irora ti o gbooro, rirẹ, awọn iṣoro oorun"
Chronic Pain Syndromes,Onibaje irora Saa,"Persistent pain, fatigue, sleep disturbances","Irora igbagbogbo, rirẹ, awọn idamu oorun"
Sleep Apnea,Orun Apne,"Loud snoring, episodes of stopped breathing, daytime sleepiness","Snoring ti npariwo, awọn iṣẹlẹ ti idaduro mimi, oorun oorun"
